lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
53.484,-2.2446,Europe/London,3600,75,11.75,1625097600,13.52,88,1018,13.7,10000,110,1.03
53.484,-2.2446,Europe/London,3600,90,12.39,1625101200,13.35,94,1018,13.33,5000,0,1.03
53.484,-2.2446,Europe/London,3600,90,11.79,1625104800,12.93,94,1018,12.73,4700,0,0.51
53.484,-2.2446,Europe/London,3600,90,11.9,1625108400,12.71,94,1018,12.84,4700,0,1.03
53.484,-2.2446,Europe/London,3600,90,11.79,1625112000,12.57,94,1018,12.73,4200,240,1.03
53.484,-2.2446,Europe/London,3600,90,11.86,1625115600,13.02,94,1017,12.8,4400,0,0.51
53.484,-2.2446,Europe/London,3600,90,12.5,1625119200,13.5,94,1017,13.45,6000,0,1.03
53.484,-2.2446,Europe/London,3600,75,11.73,1625122800,14.95,82,1017,14.77,10000,0,0.51
53.484,-2.2446,Europe/London,3600,98,8.83,1625126400,14.86,63,1017,15.85,10000,0,1.03
53.484,-2.2446,Europe/London,3600,40,4.25,1625130000,15.27,42,1018,17.27,10000,0,1.03
53.484,-2.2446,Europe/London,3600,20,8.52,1625133600,16.41,52,1017,18.55,10000,340,2.57
53.484,-2.2446,Europe/London,3600,75,10.25,1625137200,18.19,55,1017,19.52,10000,240,2.06
53.484,-2.2446,Europe/London,3600,40,11.64,1625140800,18.71,56,1017,20.72,10000,280,3.6
53.484,-2.2446,Europe/London,3600,75,11.27,1625144400,20.13,52,1017,21.53,10000,250,2.57
53.484,-2.2446,Europe/London,3600,75,12.62,1625148000,21.15,56,1017,21.78,10000,0,2.06
53.484,-2.2446,Europe/London,3600,40,11.7,1625151600,20.73,52,1017,22.0,10000,270,2.57
53.484,-2.2446,Europe/London,3600,75,11.86,1625155200,19.19,53,1017,21.86,10000,260,4.63
53.484,-2.2446,Europe/London,3600,40,12.01,1625158800,18.5,56,1016,21.12,10000,280,4.63
53.484,-2.2446,Europe/London,3600,100,12.1,1625162400,16.36,63,1016,19.31,10000,300,5.14
53.484,-2.2446,Europe/London,3600,100,12.13,1625166000,14.99,72,1016,17.22,10000,290,4.12
53.484,-2.2446,Europe/London,3600,100,12.94,1625169600,14.4,82,1017,16.01,10000,290,3.6
53.484,-2.2446,Europe/London,3600,100,13.26,1625173200,14.45,88,1017,15.23,10000,280,2.57
53.484,-2.2446,Europe/London,3600,20,12.69,1625176800,14.04,88,1017,14.65,10000,260,2.06
53.484,-2.2446,Europe/London,3600,75,13.13,1625180400,14.33,94,1017,14.08,10000,0,1.03
